n,merge,hybrid5,hybrid10,hybrid20,hybrid30,hybrid50
15800,8633,8386,9677,11225,10925,13956
15900,11075,8555,10269,11065,9521,10873
16000,9167,8375,9212,8952,12165,13590
16100,12011,9234,8942,8840,8673,10459
16200,9421,8725,8898,10052,9630,11514
16300,10757,11444,10565,9859,9788,10953
16400,9828,9605,8741,9525,9536,11815
16500,8895,8605,8807,9196,9448,11173
16600,9464,9250,11453,16466,13257,22376
16700,12629,11162,9933,10039,9590,11348
16800,8964,8818,9137,10539,9516,11136
16900,9473,9044,9453,9482,9485,11706
17000,9266,9190,9374,10179,11130,11592
17100,9677,9552,9357,9744,9548,11984
17200,9213,9123,9237,9930,10499,11697
17300,11548,9753,10040,10037,10262,13306
17400,12060,12647,11309,14141,11921,16000
17500,10307,9150,10438,10966,10191,12342
17600,10349,9363,9828,10292,10677,12881
17700,10653,9794,9747,10320,9748,12665
17800,10639,9565,9633,10093,10408,12718
17900,10747,9456,9701,10552,10680,15157
18000,10189,10041,10001,9916,10491,13253
18100,10026,9814,13366,13488,13538,17212
18200,13378,13735,13464,13826,12296,17074
18300,11011,9831,10302,11079,10380,13373
18400,10456,10097,9972,12153,11508,13310
18500,11295,9766,12279,13555,13968,12855
18600,11881,9632,10428,11128,10810,14532
18700,13197,10581,9883,10845,12703,15769
18800,14942,12628,12392,12156,14763,16000
18900,11459,10300,10368,10958,12177,15018
19000,11333,10111,11098,10758,11020,14276
19100,11362,10161,10854,11067,11247,14770
19200,11705,10517,10312,12818,11511,14870
19300,12190,11124,10967,12476,11864,14155
19400,11300,10425,10678,16165,15003,18104
19500,14902,11958,14912,11490,14983,18492
19600,14715,14631,13469,15024,12518,17959
19700,14201,13427,15399,13953,13831,16204
19800,14284,12785,17434,15976,12455,15707
19900,11696,10538,11217,11568,12101,15082
20000,11617,12839,14645,14266,16526,18462
20100,14839,12929,10723,12535,11558,16401
20200,11790,11002,12050,14251,13854,15519
20300,11564,11701,11470,13200,12821,15733
20400,11820,11040,11790,12432,12799,15219
20500,13385,11365,11816,12130,13606,15558
20600,12011,12062,14974,16024,16629,20639
20700,15263,11196,11847,12569,15013,15938
20800,11949,11440,11291,13650,13008,17875
20900,11505,11286,11212,12260,11860,15748
21000,12155,12036,11335,12872,12486,16696
21100,12080,12319,11632,13061,12266,17224
21200,13009,13140,15928,14367,20162,28441
21300,16421,12861,12327,12397,14387,20006
21400,13143,34587,38587,41835,47623,64243
21500,24273,19344,18313,17007,25321,42632
21600,17759,19011,14741,12789,16953,20202
21700,13042,11744,13209,13192,13128,17905
21800,14274,12785,13535,12227,13241,17218
21900,13422,12316,12235,14323,19442,22924
22000,25964,21332,27504,29124,43109,53467
22100,45265,39913,41612,39720,49631,59175
22200,37784,40914,41057,40956,49383,60791
22300,40363,43962,37480,43731,45442,63109
22400,42638,41573,40937,42665,48676,57579
22500,25511,21515,24833,22590,25833,30403
22600,26453,25488,25658,33646,46806,66000
22700,46974,41468,35508,42515,43191,38393
22800,21096,15104,24378,15736,14486,18447
22900,22849,18070,18153,17761,22977,19730
23000,19794,12448,13391,19741,18328,32396
23100,24217,33794,24317,40482,22942,63195
23200,45221,41687,21412,30771,51423,48342
23300,30965,22298,29996,21939,29812,28806
23400,16339,18970,25254,15304,15246,19971
23500,21614,15071,19538,23865,48221,44443
23600,27616,29163,29818,21192,50384,70100
23700,50061,44566,40347,45139,49215,75617
23800,51380,44801,44456,47507,53478,68341
23900,47600,44744,42347,43327,42945,42503
24000,23936,32812,42050,51267,63113,73304
24100,47794,44660,44587,47641,54183,73272
24200,34239,20611,29877,28596,30662,40634
24300,15787,14339,16202,14806,16055,21061
24400,14546,14792,13746,14997,27992,33072
24500,15024,13805,13231,14107,17079,36268
24600,20427,16830,18560,15804,15861,21803
24700,14062,14130,20184,14846,16245,30056
24800,22034,16727,13744,14713,17519,23325
24900,15590,14093,24083,22983,17845,27635
25000,16134,18663,16537,19127,19326,23672
25100,15565,14410,16390,15354,18104,23668
25200,14882,14260,14683,19895,22561,22459
25300,14648,14680,14031,17153,16412,21996
25400,14359,14188,14454,14169,27315,30708
25500,28100,40235,23687,21931,29644,47218
25600,18901,17404,30012,28672,30260,40946
25700,21839,15941,16961,16155,23989,46468
25800,24442,19131,20577,20341,20423,22115
25900,16507,19649,20804,16907,19557,19445
26000,15128,13886,14910,15922,17430,21171
26100,22550,15528,15074,15866,17091,20554
26200,16524,16000,30355,33714,30544,26516
26300,17764,14741,14957,14805,16994,17426
26400,14990,16295,19630,26750,27547,30727
26500,30298,25956,15731,15886,23497,19577
26600,17069,38926,51649,31958,28979,26407
26700,26317,18243,16669,15621,19140,16932
26800,18255,15707,15980,15165,17248,21353
26900,24004,23868,22384,41418,42653,52316
27000,57892,38331,25062,27268,20177,29344
27100,24614,21853,16243,19521,20291,37794
27200,31859,16865,18592,16972,20622,19732
27300,18311,24113,17728,18746,26019,25635
27400,29022,20661,16213,17207,19758,21384
27500,20410,16409,16672,17130,21305,23038
27600,19691,16982,17783,17663,21544,22344
27700,18911,17672,19808,18237,22938,26887
27800,23883,25725,24986,24230,27630,20771
27900,18791,18522,16985,19977,23727,22033
28000,18797,20003,16829,24519,25452,22045
28100,18639,18028,17140,29008,53943,51883
28200,25287,27497,31109,38324,34874,23985
28300,16885,15611,15175,17473,22982,19198
28400,16667,16866,16554,16085,20518,18927
28500,17386,17080,16292,24796,26088,26470
28600,20364,16726,16875,16504,19842,19508
28700,17378,17611,16027,17096,20152,24543
28800,18839,16467,15755,19487,19033,20245
28900,16802,16296,16737,18482,24044,32053
29000,22878,21565,17590,17634,19207,21852
29100,16799,16897,16044,17978,19635,20320
29200,18171,18833,16239,17045,19961,21442
29300,20165,18478,16502,28088,27176,40475
29400,41704,30083,34206,29020,26478,22896
29500,17965,19967,25284,45932,21797,21687
29600,17595,16481,19567,17276,32254,23995
29700,20178,16791,25110,22109,40079,22822
29800,17820,16684,16398,19365,22775,21087
29900,18238,17195,16615,19327,20469,21222
30000,17765,16599,15983,18655,21697,21158
30100,18711,15545,18029,46071,32757,28411
30200,22446,16827,17077,19586,20590,21457
30300,17070,16160,16446,17669,22385,22578
30400,18274,16050,17325,17296,20988,21100
30500,17388,19179,15800,27678,50177,53892
30600,40846,44485,23782,32300,40226,35905
30700,20360,20687,41120,34876,42565,40458
30800,30450,38544,52571,47595,53837,47577
30900,34078,34664,35183,54008,32341,33218
31000,24034,17225,16885,17762,20442,22903
31100,17471,17109,19623,26019,26208,25636
