n,merge,hybrid5,hybrid10,hybrid20,hybrid30,hybrid50
65900,75976,64904,50343,75662,56799,59622
66000,65176,53298,50922,74920,71332,85471
66100,68222,45505,52767,47581,49317,57745
66200,44970,50013,43480,44503,43970,61284
66300,70560,41397,42820,49628,63844,67064
66400,43169,66517,118522,101014,87431,115543
66500,106389,132963,103055,95653,62913,57903
66600,48285,58610,65201,62685,136269,178186
66700,113056,99289,110630,109832,97148,104110
66800,69793,58063,63197,140040,134347,181412
66900,130907,109648,93029,61138,77798,103433
67000,113155,143483,140223,110773,90847,123275
67100,136622,144412,92279,69653,61701,79493
67200,62121,63180,67241,128899,107805,103894
67300,81907,84461,62303,109619,139563,185664
67400,146113,140843,140608,149353,147324,177013
67500,144037,126502,116198,153008,143740,182274
67600,112638,117534,143866,105471,76747,102576
67700,88456,77457,115344,74758,121770,126469
67800,117480,97925,118388,120854,98168,88930
67900,86636,61729,53128,87023,106483,120970
68000,111344,128461,119558,115294,90284,133862
68100,107070,130418,85015,70949,112425,112732
68200,104310,126627,88463,89552,107602,105088
68300,120088,87031,70228,125956,152815,110463
68400,85401,93751,77061,96588,107689,142754
68500,55603,49661,117509,138801,146216,163258
68600,148221,126338,143781,156761,90633,82104
68700,60137,52971,48348,107089,70640,65573
68800,52740,44695,84596,50916,53501,76335
68900,73821,52889,91927,58785,91322,67580
69000,72456,68374,81823,51858,59417,61834
69100,53925,58314,123109,68833,53500,60325
69200,56417,48269,75615,61646,64265,82036
69300,56568,47932,70683,75950,53729,70278
69400,70642,61312,72694,67137,56555,80871
69500,58990,55170,127715,76462,53326,79644
69600,56318,52583,102450,102125,77152,71269
69700,49595,51089,89389,56163,64087,83052
69800,51270,48536,79572,58750,55022,66938
69900,74016,79233,65897,56740,59711,68477
70000,57482,56054,69580,103638,58096,61651
70100,55531,49999,57950,92463,62963,86362
70200,61453,49657,79878,58252,58784,67562
70300,71866,57918,91180,57210,53260,69469
70400,55172,65588,107895,62828,58239,68821
70500,52463,81508,88294,137377,84292,89924
70600,87809,121183,72293,83452,81269,137452
70700,125344,51513,53671,121384,59570,116776
70800,105095,83642,141262,107863,91341,205001
70900,156583,115476,64441,63758,157692,196095
71000,153035,103359,60426,75306,84741,105591
71100,73268,61378,120064,158518,165378,107385
71200,78856,66075,64557,49734,63253,76295
71300,57184,42998,55389,52376,50343,64467
71400,45781,44648,43901,68807,50441,58280
71500,53805,47049,45018,50723,48372,65683
71600,73954,55949,63282,134727,95141,102077
71700,73327,72710,150526,62470,65322,113710
71800,127918,99821,90297,108129,103317,170539
71900,130369,60819,42804,48114,46745,58969
72000,82863,44163,113486,76581,54833,87188
72100,62940,89342,98212,102406,63804,102171
72200,111300,89637,132407,167302,157357,159897
72300,70769,76884,64594,93124,84296,83431
72400,59804,66455,58354,63755,119096,197611
72500,156121,146247,146922,122337,77123,82773
72600,93326,76551,60998,102689,78622,90526
72700,67256,108090,159374,172078,163393,172598
72800,79994,72781,144551,167580,182061,199544
72900,157503,95875,83988,75290,104838,86588
73000,67478,99324,121847,86654,149537,214829
73100,155432,136287,88221,110385,63799,84951
73200,147965,67115,45991,65704,114054,134645
73300,100433,103191,77829,73955,66079,59231
73400,79554,62696,98689,87963,62414,93732
73500,72302,46240,79263,61433,88654,99357
73600,92076,61194,71785,98950,86763,92248
73700,90817,57977,62398,82452,97285,109720
73800,55797,64679,48594,57397,86839,68587
73900,82250,60740,71710,79879,77947,109144
74000,119025,140664,76504,52344,49172,62986
74100,47844,44160,46626,47419,59419,70550
74200,81294,58038,70711,55104,52379,60318
74300,65995,46132,49130,72616,53889,66006
74400,49073,66320,72289,64716,60653,95381
74500,50197,74457,67113,83828,101694,72361
74600,48594,43453,51262,73157,68991,97172
74700,74586,71026,68853,53071,58749,71465
74800,64287,93581,62650,49144,48845,101136
74900,69066,77925,106162,69234,55408,89127
75000,67326,64545,68914,90665,83527,109149
75100,59544,73199,47430,49459,72533,107609
75200,88786,55878,73982,74821,78726,98426
75300,97389,66959,66766,61910,71251,96237
75400,63545,61493,51243,53208,52873,63851
75500,49332,46560,47616,51331,62147,69171
75600,48027,47534,47668,50003,50629,72321
75700,96906,87304,80162,77454,77033,77171
75800,72292,83665,95208,82928,82005,97494
75900,72946,47702,56372,59220,53613,61695
76000,52503,45857,45266,50923,51168,74724
76100,55029,45737,77316,67844,69303,92200
76200,56662,75873,58274,50234,58321,67103
76300,48528,47036,48359,56123,60164,71094
76400,56881,46317,48093,59633,124229,87322
76500,52705,48843,48212,50524,50923,62479
76600,52911,88478,56973,84514,109033,70296
76700,51373,49133,71840,83739,57887,128729
76800,85686,54792,57377,81403,61699,68672
76900,56692,64456,123404,79869,118382,101779
77000,72594,96665,159865,168964,103458,137526
77100,127304,102366,104749,56646,54242,86175
77200,81920,58992,77288,59996,51412,96999
77300,73732,57640,50708,52960,64236,66611
77400,50801,46209,47740,51496,51125,63450
77500,57271,55952,50952,52113,58745,63168
77600,51388,50256,49595,58859,60672,64632
77700,51154,44894,46806,52261,52077,67628
77800,63014,50757,49383,51409,56549,70182
77900,50243,45431,50728,62064,56968,64059
78000,49431,46219,47826,55030,62156,71118
78100,60743,45770,46694,52122,51141,66089
78200,51732,46210,57715,73781,61595,80019
78300,54227,54208,69517,56196,109246,96833
78400,58209,107250,72153,55272,54664,89730
78500,70167,60880,56253,52544,71543,71729
78600,84960,118833,114151,145198,77633,95978
78700,87254,53788,58140,57273,61679,115648
78800,67768,59813,62031,63782,56851,70800
78900,63319,52666,68304,73636,61414,85579
79000,57031,50114,53558,61164,78236,88519
79100,57814,48162,55133,62816,57933,89374
79200,65629,46419,48518,66251,53402,69536
79300,53790,65908,71400,92802,180240,137140
79400,156232,112894,57895,88016,95292,89104
79500,75535,61962,58841,57807,54808,66840
79600,54748,54659,57298,77127,71113,69537
79700,58503,51069,52158,56133,61752,105196
79800,54371,48616,49376,60804,57012,72507
79900,89451,91603,96746,102209,111833,132925
80000,96095,63301,161270,122355,119441,98626
80100,149784,139083,172622,144464,140631,106866
80200,60973,75803,65011,65198,56062,68055
80300,52807,52381,49474,53557,55495,155315
80400,88312,70102,71309,84631,82371,89126
80500,57571,48193,71289,95715,74280,99453
80600,166528,90939,50654,65528,64418,74833
80700,56801,52514,71311,79389,71698,82631
80800,63086,54433,68527,68719,115882,73727
80900,65621,78502,54151,64129,67071,94892
81000,58662,60237,54227,63593,58915,82430
81100,68643,58951,57806,66726,64233,74918
81200,59736,57414,58548,60486,53633,69823
81300,55901,51094,56523,68617,85908,76397
81400,63791,52196,147512,193203,181384,155888
81500,128243,149799,85773,150137,141994,183633
81600,155563,99984,121174,131355,189353,195685
81700,69009,80798,79827,153264,99751,160356
81800,155220,87036,160338,92723,69747,88720
81900,54579,46478,54147,99453,88691,103539
82000,163991,172168,153054,128913,59608,87893
82100,53169,49497,69497,62303,60532,104393
82200,79115,55977,98568,98799,62323,82362
82300,66205,50118,58638,75960,85902,76559
82400,74453,53513,55839,111904,107388,125084
82500,81325,81901,62266,65426,58586,127535
82600,71278,75941,86857,90076,92452,105022
82700,66561,66357,56247,61005,66348,88791
82800,80654,50095,51757,61574,61535,78181
82900,61741,69377,72413,99384,59245,78508
83000,68004,61399,57441,70603,57223,70851
83100,62173,52380,86380,95267,75573,71119
83200,58419,63807,79364,114217,115411,90868
83300,83579,71759,57740,77582,56675,87023
83400,56654,49544,50901,53989,58024,71791
83500,54652,65254,54609,56096,56109,72963
83600,55915,51993,52601,69424,64648,95960
83700,61450,51454,54855,55289,66136,80504
83800,54286,49957,59110,55109,61449,96353
83900,76182,75371,66543,67621,96784,81918
84000,70964,67085,52351,58482,67964,125027
84100,60930,69228,62951,80967,67461,82819
84200,87471,63512,76685,73056,68318,78001
84300,58365,59249,62044,72113,77219,204428
84400,178948,138307,86663,78699,80908,102732
84500,102592,74503,78434,121229,86218,97250
84600,70070,60597,60143,60499,73120,81297
84700,67510,74795,70048,95123,72433,150389
84800,130983,149325,130653,84456,86347,184767
84900,159695,73713,101817,96668,181561,190839
85000,75963,64889,87240,97662,104277,246230
85100,93210,68213,71390,70510,101559,109996
85200,71367,113452,75677,83910,99206,106722
85300,103558,83826,110850,117916,79461,122759
85400,83131,77823,126792,102840,102428,179655
85500,90272,112282,93638,99821,101562,112656
85600,102800,111168,81010,76282,87617,146493
85700,132666,105984,95370,93502,80723,96675
85800,74483,86042,74874,52805,59319,98806
85900,111348,56762,53544,52029,62336,76292
86000,54704,60354,68007,53745,61812,110744
86100,59775,131400,81253,58098,59563,73043
86200,57159,76980,51369,116229,104360,86927
86300,57087,55380,61823,57093,58660,93949
86400,57462,51990,53550,56498,65550,106164
86500,105767,100497,80398,66351,88456,77021
86600,77330,55597,56266,56732,78823,85395
86700,64671,67384,64057,70196,72559,80010
86800,57155,53024,56489,77956,60668,75652
86900,57152,52676,53001,52870,69823,97529
87000,63217,53289,65693,102308,102294,117571
87100,66671,63199,89985,106702,112900,89983
87200,56036,52271,51945,89390,69812,133702
87300,61265,75935,55150,60735,71185,98971
87400,78473,55888,60232,57850,69522,83749
87500,67771,67825,58830,63739,67006,82290
87600,66579,55452,109489,88474,69222,79599
87700,64567,56754,56947,72926,82840,95229
87800,64333,122907,109237,152905,156087,197918
87900,114919,76626,94275,89289,85173,130330
88000,115451,77831,178770,191671,200069,173707
88100,167813,193421,192343,181949,147293,198256
88200,148624,176626,178123,186203,154631,116129
88300,106725,79436,115253,140428,120910,229726
88400,156457,70039,63738,67855,76065,188339
88500,66362,64459,62401,59237,103455,113025
88600,92194,129164,109921,98415,123560,150490
88700,81409,93832,74696,73365,107928,88508
88800,69240,65477,77913,108717,89231,88306
88900,62990,62145,68344,114328,72863,99231
89000,81111,71128,80233,167355,81118,129806
89100,106977,88870,61260,130193,75538,85367
89200,110476,74692,68122,77134,92729,90823
89300,79934,82093,59874,96196,72348,84884
89400,80397,79242,99706,118683,88936,93413
89500,88443,95239,62008,63916,74773,118637
89600,115651,81800,59228,80708,71870,137155
89700,96025,59672,60877,62058,83588,128094
89800,76353,61831,55074,90735,85283,114826
89900,76211,58987,96165,63160,86643,178918
90000,199679,163587,121852,209024,214615,157951
90100,140946,151020,103236,94028,186041,187410
90200,147813,98664,59329,93329,188312,145104
90300,66134,68077,64064,61081,139784,96094
90400,78643,61001,62825,124077,83864,94101
90500,64002,95905,92908,86853,75509,102496
90600,105206,65036,64232,103903,75840,130910
90700,102452,60727,83931,72416,70970,126406
90800,66202,62622,77263,76222,112421,88419
90900,65914,61504,71417,124224,87046,109486
91000,117776,182504,132922,160440,139178,189278
91100,195594,135506,149717,73904,80110,127023
91200,74053,93416,95140,130377,117816,129843
91300,149120,78192,71776,71476,70705,159340
91400,68282,64366,61592,68547,108059,128471
91500,68636,74380,86249,80254,82709,112652
91600,72361,96105,69546,95451,104213,96663
91700,106301,65540,58780,68541,98365,129393
91800,65602,63645,65061,147893,85565,91186
91900,68881,64210,81856,109630,77683,95082
92000,67778,91939,76872,83589,70686,90592
92100,103991,63669,70063,82396,72406,117573
92200,77303,66657,81846,93790,73687,130615
92300,68799,64317,80484,73108,73992,124182
92400,76271,62516,81430,76936,117244,105558
92500,63476,73202,84931,89958,94220,93371
92600,75601,84139,75966,105148,70904,104078
92700,78796,90549,62702,96994,69949,95156
92800,71794,83274,65439,97679,77973,89549
92900,73898,83892,63750,111287,116552,158518
93000,95307,60169,64030,110832,76108,146951
93100,91680,95666,99093,115370,153995,138220
93200,138417,189945,106291,106525,178494,173098
93300,179874,200542,133221,128806,94383,126232
93400,62550,57210,68041,68869,68582,86093
93500,59207,58159,57129,62459,78827,88504
93600,61018,57436,59558,57224,69684,100837
93700,60626,60429,154505,102228,113894,114362
93800,77104,63950,82149,87560,80522,86125
93900,62608,56490,57049,58694,71129,97216
94000,62586,56395,58264,103265,102397,155994
94100,92049,87604,76441,83731,81100,112670
94200,62534,57427,56687,57895,68384,106127
94300,99623,100305,70570,81480,121276,133367
94400,107375,99303,62181,96935,101088,88430
94500,91215,64519,63408,85711,99335,106320
94600,73135,69462,64851,92060,90325,161459
94700,80560,69588,82525,81965,75455,101861
94800,65451,64312,64994,77528,73406,97328
94900,95992,135044,204685,126897,112966,118075
95000,96626,140151,117188,74003,116838,166724
95100,112652,147877,130538,145248,152174,257587
95200,123664,84225,144142,85121,141375,209995
95300,107081,95773,98446,108938,149907,207358
95400,134625,109144,114958,161297,220308,251033
95500,96066,111404,72113,76658,80558,96724
95600,141943,84242,80821,82942,76646,94074
95700,67942,65017,75369,69828,66856,96299
95800,67478,62654,71658,84938,86753,99346
95900,77744,75982,61593,161144,85064,91078
96000,77657,67170,62289,75026,95446,97102
96100,66372,71218,62064,73536,92620,125354
96200,70571,134278,154964,158183,103862,101890
96300,147839,153996,86764,111013,74304,147024
96400,140941,80656,102612,92161,126045,285556
96500,222117,208173,172708,148180,249995,244699
96600,68804,61047,89738,80630,84524,125935
96700,68109,64226,73965,63604,70508,106795
96800,83355,62514,72355,83447,76853,96635
96900,64183,65555,69861,73498,138136,224060
97000,123593,68458,120234,75540,89612,135419
97100,90451,108650,137014,183643,151807,146100
97200,86644,74512,85228,106961,142301,144043
97300,90643,76122,70998,73375,86514,100587
97400,95053,82249,67156,74734,76188,115227
97500,93407,91888,83493,146841,158642,208807
97600,87586,78986,80584,113958,113211,149352
97700,124091,153595,195038,200710,120765,275882
97800,144339,215554,180239,117841,102563,203745
97900,138229,220370,89644,143474,212526,157038
98000,92756,66358,61265,64436,82368,103336
98100,65226,65598,58611,63684,76347,109108
98200,66841,62648,59632,63095,75101,115043
98300,87481,94032,64580,127780,81309,127417
98400,65696,87001,84321,132014,151517,235542
98500,118526,72292,97042,88246,76874,104260
98600,86587,88257,85552,101652,93908,214763
98700,155723,79357,61633,71603,97369,138210
98800,96663,134595,87868,116898,90412,139564
98900,125683,111296,78030,105687,99542,195423
99000,145132,171770,67617,62696,71112,106068
99100,83923,62946,60263,61412,76207,112960
99200,143883,127991,105743,171635,168275,146769
99300,145743,167756,195057,186824,219587,310628
99400,136897,62307,59073,64539,69640,114304
99500,66141,61479,98828,80651,135213,311768
99600,121743,68739,61482,75961,97251,102622
99700,67684,63992,59798,69871,78801,123066
99800,70233,76969,65782,70813,76618,122232
99900,67933,65723,61053,71570,75403,135459
100000,67226,63632,68371,86320,83231,144911
